college_code,college_name,major_group_code,subject_requirement,min_score,source_image,status,estimated_cumulative_rank_from_score_distribution,rank_source,rank_status
1001,福建福耀科技大学,500,选考化学,629,001.jpg,visual_ocr_needs_spotcheck,5008,fujian_2025_physics_undergrad_admission_images,ocr_needs_spotcheck
1002,福建技术师范学院,500,选考化学,504,001.jpg,visual_ocr_needs_spotcheck,66452,fujian_2025_physics_undergrad_admission_images,ocr_needs_spotcheck
1002,福建技术师范学院,999,不限选考科目,498,001.jpg,visual_ocr_needs_spotcheck,71202,fujian_2025_physics_undergrad_admission_images,ocr_needs_spotcheck
1003,福建技术师范学院（闽台合作）,500,选考化学,489,001.jpg,visual_ocr_needs_spotcheck,78616,fujian_2025_physics_undergrad_admission_images,ocr_needs_spotcheck
1004,福建江夏学院,500,选考化学,521,001.jpg,visual_ocr_needs_spotcheck,53711,fujian_2025_physics_undergrad_admission_images,ocr_needs_spotcheck
1004,福建江夏学院,999,不限选考科目,512,001.jpg,visual_ocr_needs_spotcheck,60283,fujian_2025_physics_undergrad_admission_images,ocr_needs_spotcheck
1005,福建江夏学院（国际课程项目）,999,不限选考科目,484,001.jpg,visual_ocr_needs_spotcheck,82760,fujian_2025_physics_undergrad_admission_images,ocr_needs_spotcheck
1006,福建江夏学院（闽台合作）,500,选考化学,514,001.jpg,visual_ocr_needs_spotcheck,58785,fujian_2025_physics_undergrad_admission_images,ocr_needs_spotcheck
1006,福建江夏学院（闽台合作）,999,不限选考科目,502,001.jpg,visual_ocr_needs_spotcheck,67989,fujian_2025_physics_undergrad_admission_images,ocr_needs_spotcheck
1008,福建警察学院,500,选考化学,524,001.jpg,visual_ocr_needs_spotcheck,51599,fujian_2025_physics_undergrad_admission_images,ocr_needs_spotcheck
1008,福建警察学院,999,不限选考科目,521,001.jpg,visual_ocr_needs_spotcheck,53711,fujian_2025_physics_undergrad_admission_images,ocr_needs_spotcheck
1030,福建理工大学,500,选考化学,546,001.jpg,visual_ocr_needs_spotcheck,37396,fujian_2025_physics_undergrad_admission_images,ocr_needs_spotcheck
1030,福建理工大学,999,不限选考科目,538,001.jpg,visual_ocr_needs_spotcheck,42366,fujian_2025_physics_undergrad_admission_images,ocr_needs_spotcheck
1031,福建理工大学（闽台合作）,500,选考化学,535,001.jpg,visual_ocr_needs_spotcheck,44290,fujian_2025_physics_undergrad_admission_images,ocr_needs_spotcheck
1031,福建理工大学（闽台合作）,999,不限选考科目,528,001.jpg,visual_ocr_needs_spotcheck,48837,fujian_2025_physics_undergrad_admission_images,ocr_needs_spotcheck
1032,福建理工大学（中外合作）,500,选考化学,514,001.jpg,visual_ocr_needs_spotcheck,58785,fujian_2025_physics_undergrad_admission_images,ocr_needs_spotcheck
1033,福建农林大学,500,选考化学,542,001.jpg,visual_ocr_needs_spotcheck,39897,fujian_2025_physics_undergrad_admission_images,ocr_needs_spotcheck
1033,福建农林大学,600,选考生物学,550,001.jpg,visual_ocr_needs_spotcheck,35037,fujian_2025_physics_undergrad_admission_images,ocr_needs_spotcheck
1033,福建农林大学,999,不限选考科目,541,001.jpg,visual_ocr_needs_spotcheck,40511,fujian_2025_physics_undergrad_admission_images,ocr_needs_spotcheck
1034,福建农林大学（定向专业，长乐区）,500,选考化学,600,001.jpg,visual_ocr_needs_spotcheck,12735,fujian_2025_physics_undergrad_admission_images,ocr_needs_spotcheck
1035,福建农林大学（定向专业，长汀县）,500,选考化学,576,001.jpg,visual_ocr_needs_spotcheck,22059,fujian_2025_physics_undergrad_admission_images,ocr_needs_spotcheck
1036,福建农林大学（定向专业，福清市）,500,选考化学,616,001.jpg,visual_ocr_needs_spotcheck,7919,fujian_2025_physics_undergrad_admission_images,ocr_needs_spotcheck
