score,count,rank_low,rank_high
668,1,15,15
667,4,16,19
666,6,20,25
665,3,26,28
664,4,29,32
663,2,33,34
662,6,35,40
661,4,41,44
660,2,45,46
659,6,47,52
658,2,53,54
657,7,55,61
656,5,62,66
655,4,67,70
654,12,71,82
653,6,83,88
652,11,89,99
651,8,100,107
650,7,108,114
649,7,115,121
648,11,122,132
647,8,133,140
646,9,141,149
645,12,150,161
644,15,162,176
643,11,177,187
642,19,188,206
641,20,207,226
640,15,227,241
639,17,242,258
638,17,259,275
637,14,276,289
636,24,290,313
635,30,314,343
634,17,344,360
633,16,361,376
632,21,377,397
631,30,398,427
630,37,428,464
629,22,465,486
628,35,487,521
627,31,522,552
626,34,553,586
625,37,587,623
624,32,624,655
623,32,656,687
622,36,688,723
621,32,724,755
620,39,756,794
619,37,795,831
618,45,832,876
617,40,877,916
616,50,917,966
615,39,967,1005
614,56,1006,1061
613,53,1062,1114
612,43,1115,1157
611,48,1158,1205
610,54,1206,1259
609,56,1260,1315
608,60,1316,1375
607,62,1376,1437
606,65,1438,1502
605,63,1503,1565
604,73,1566,1638
603,50,1639,1688
602,76,1689,1764
601,67,1765,1831
600,65,1832,1896
599,74,1897,1970
598,67,1971,2037
597,78,2038,2115
596,70,2116,2185
595,89,2186,2274
594,85,2275,2359
593,80,2360,2439
592,76,2440,2515
591,83,2516,2598
590,87,2599,2685
589,87,2686,2772
588,77,2773,2849
587,90,2850,2939
586,85,2940,3024
585,105,3025,3129
584,97,3130,3226
583,106,3227,3332
582,112,3333,3444
581,105,3445,3549
580,113,3550,3662
579,104,3663,3766
578,104,3767,3870
577,109,3871,3979
576,114,3980,4093
575,101,4094,4194
574,105,4195,4299
573,123,4300,4422
572,123,4423,4545
571,126,4546,4671
570,134,4672,4805
569,97,4806,4902
568,116,4903,5018
567,130,5019,5148
566,130,5149,5278
565,132,5279,5410
564,148,5411,5558
563,166,5559,5724
562,130,5725,5854
561,132,5855,5986
560,149,5987,6135
559,129,6136,6264
558,127,6265,6391
557,151,6392,6542
556,136,6543,6678
555,128,6679,6806
554,142,6807,6948
553,143,6949,7091
552,142,7092,7233
551,162,7234,7395
550,163,7396,7558
549,169,7559,7727
548,172,7728,7899
547,152,7900,8051
546,186,8052,8237
545,175,8238,8412
544,156,8413,8568
543,185,8569,8753
542,169,8754,8922
541,167,8923,9089
540,183,9090,9272
539,147,9273,9419
538,148,9420,9567
537,167,9568,9734
536,204,9735,9938
535,172,9939,10110
534,166,10111,10276
533,177,10277,10453
532,185,10454,10638
531,200,10639,10838
530,190,10839,11028
529,189,11029,11217
528,199,11218,11416
527,166,11417,11582
526,213,11583,11795
525,211,11796,12006
524,179,12007,12185
523,211,12186,12396
522,189,12397,12585
521,192,12586,12777
520,204,12778,12981
519,200,12982,13181
518,220,13182,13401
517,198,13402,13599
516,241,13600,13840
515,222,13841,14062
514,211,14063,14273
513,207,14274,14480
512,225,14481,14705
511,224,14706,14929
510,228,14930,15157
509,211,15158,15368
508,229,15369,15597
507,221,15598,15818
506,219,15819,16037
505,240,16038,16277
504,257,16278,16534
503,215,16535,16749
502,238,16750,16987
501,244,16988,17231
500,223,17232,17454
499,250,17455,17704
498,228,17705,17932
497,221,17933,18153
496,228,18154,18381
495,240,18382,18621
494,228,18622,18849
493,271,18850,19120
492,257,19121,19377
491,235,19378,19612
490,229,19613,19841
489,263,19842,20104
488,264,20105,20368
487,248,20369,20616
486,239,20617,20855
485,244,20856,21099
484,263,21100,21362
483,240,21363,21602
482,251,21603,21853
481,215,21854,22068
480,255,22069,22323
479,266,22324,22589
478,244,22590,22833
477,255,22834,23088
476,245,23089,23333
475,218,23334,23551
474,292,23552,23843
473,245,23844,24088
472,268,24089,24356
471,245,24357,24601
470,295,24602,24896
469,261,24897,25157
468,254,25158,25411
467,286,25412,25697
466,270,25698,25967
465,239,25968,26206
464,271,26207,26477
463,258,26478,26735
462,277,26736,27012
461,273,27013,27285
460,282,27286,27567
459,288,27568,27855
458,285,27856,28140
457,261,28141,28401
456,256,28402,28657
455,268,28658,28925
454,268,28926,29193
453,265,29194,29458
452,266,29459,29724
451,264,29725,29988
450,244,29989,30232
449,294,30233,30526
448,262,30527,30788
447,280,30789,31068
446,283,31069,31351
445,315,31352,31666
444,278,31667,31944
443,284,31945,32228
442,325,32229,32553
441,277,32554,32830
440,283,32831,33113
439,268,33114,33381
438,274,33382,33655
437,281,33656,33936
436,268,33937,34204
435,286,34205,34490
434,290,34491,34780
433,303,34781,35083
432,321,35084,35404
431,249,35405,35653
430,284,35654,35937
429,267,35938,36204
428,286,36205,36490
427,260,36491,36750
426,273,36751,37023
425,286,37024,37309
424,310,37310,37619
423,294,37620,37913
422,272,37914,38185
421,275,38186,38460
420,283,38461,38743
419,286,38744,39029
418,239,39030,39268
417,235,39269,39503
416,262,39504,39765
415,279,39766,40044
414,273,40045,40317
413,275,40318,40592
412,249,40593,40841
411,243,40842,41084
410,241,41085,41325
409,261,41326,41586
408,268,41587,41854
407,260,41855,42114
406,266,42115,42380
405,239,42381,42619
404,274,42620,42893
403,267,42894,43160
402,241,43161,43401
401,242,43402,43643
400,238,43644,43881
399,282,43882,44163
398,272,44164,44435
397,273,44436,44708
396,254,44709,44962
395,281,44963,45243
394,259,45244,45502
393,240,45503,45742
392,259,45743,46001
391,259,46002,46260
390,243,46261,46503
389,251,46504,46754
388,264,46755,47018
387,236,47019,47254
386,201,47255,47455
385,276,47456,47731
384,249,47732,47980
383,255,47981,48235
382,225,48236,48460
381,249,48461,48709
380,253,48710,48962
379,250,48963,49212
378,214,49213,49426
377,230,49427,49656
376,262,49657,49918
375,214,49919,50132
374,220,50133,50352
373,234,50353,50586
372,227,50587,50813
371,240,50814,51053
370,216,51054,51269
369,237,51270,51506
368,226,51507,51732
367,219,51733,51951
366,186,51952,52137
365,235,52138,52372
364,238,52373,52610
363,221,52611,52831
362,206,52832,53037
361,221,53038,53258
360,216,53259,53474
359,213,53475,53687
358,219,53688,53906
357,178,53907,54084
356,215,54085,54299
355,197,54300,54496
354,222,54497,54718
353,211,54719,54929
352,200,54930,55129
351,180,55130,55309
350,190,55310,55499
349,191,55500,55690
348,196,55691,55886
347,203,55887,56089
346,204,56090,56293
345,193,56294,56486
344,211,56487,56697
343,172,56698,56869
342,205,56870,57074
341,162,57075,57236
340,167,57237,57403
339,184,57404,57587
338,169,57588,57756
337,136,57757,57892
336,175,57893,58067
335,154,58068,58221
334,162,58222,58383
333,153,58384,58536
332,166,58537,58702
331,152,58703,58854
330,160,58855,59014
329,146,59015,59160
328,130,59161,59290
327,145,59291,59435
326,163,59436,59598
325,152,59599,59750
324,141,59751,59891
323,135,59892,60026
322,154,60027,60180
321,142,60181,60322
320,148,60323,60470
319,127,60471,60597
318,126,60598,60723
317,134,60724,60857
316,124,60858,60981
315,136,60982,61117
314,118,61118,61235
313,120,61236,61355
312,134,61356,61489
311,126,61490,61615
310,109,61616,61724
309,106,61725,61830
308,115,61831,61945
307,125,61946,62070
306,108,62071,62178
305,114,62179,62292
304,89,62293,62381
303,108,62382,62489
302,96,62490,62585
301,95,62586,62680
300,84,62681,62764
299,88,62765,62852
298,87,62853,62939
297,94,62940,63033
296,85,63034,63118
295,96,63119,63214
