score,count,rank_low,rank_high
685,3,50,52
684,7,53,59
683,12,60,71
682,16,72,87
681,14,88,101
680,10,102,111
679,10,112,121
678,15,122,136
677,17,137,153
676,16,154,169
675,17,170,186
674,18,187,204
673,31,205,235
672,29,236,264
671,41,265,305
670,31,306,336
669,45,337,381
668,31,382,412
667,38,413,450
666,37,451,487
665,43,488,530
664,53,531,583
663,49,584,632
662,50,633,682
661,49,683,731
660,54,732,785
659,68,786,853
658,69,854,922
657,70,923,992
656,71,993,1063
655,93,1064,1156
654,73,1157,1229
653,64,1230,1293
652,89,1294,1382
651,95,1383,1477
650,83,1478,1560
649,106,1561,1666
648,118,1667,1784
647,109,1785,1893
646,122,1894,2015
645,118,2016,2133
644,140,2134,2273
643,127,2274,2400
642,132,2401,2532
641,141,2533,2673
640,144,2674,2817
639,151,2818,2968
638,156,2969,3124
637,164,3125,3288
636,190,3289,3478
635,178,3479,3656
634,198,3657,3854
633,202,3855,4056
632,207,4057,4263
631,191,4264,4454
630,206,4455,4660
629,217,4661,4877
628,201,4878,5078
627,216,5079,5294
626,230,5295,5524
625,257,5525,5781
624,226,5782,6007
623,255,6008,6262
622,254,6263,6516
621,258,6517,6774
620,275,6775,7049
619,277,7050,7326
618,307,7327,7633
617,275,7634,7908
616,329,7909,8237
615,284,8238,8521
614,324,8522,8845
613,321,8846,9166
612,306,9167,9472
611,313,9473,9785
610,326,9786,10111
609,339,10112,10450
608,398,10451,10848
607,374,10849,11222
606,356,11223,11578
605,367,11579,11945
604,369,11946,12314
603,385,12315,12699
602,382,12700,13081
601,383,13082,13464
600,383,13465,13847
599,415,13848,14262
598,466,14263,14728
597,415,14729,15143
596,414,15144,15557
595,418,15558,15975
594,459,15976,16434
593,414,16435,16848
592,424,16849,17272
591,412,17273,17684
590,464,17685,18148
589,448,18149,18596
588,455,18597,19051
587,467,19052,19518
586,436,19519,19954
585,469,19955,20423
584,536,20424,20959
583,513,20960,21472
582,519,21473,21991
581,527,21992,22518
580,475,22519,22993
579,519,22994,23512
578,586,23513,24098
577,525,24099,24623
576,554,24624,25177
575,526,25178,25703
574,566,25704,26269
573,587,26270,26856
572,631,26857,27487
571,572,27488,28059
570,573,28060,28632
569,592,28633,29224
568,593,29225,29817
567,651,29818,30468
566,593,30469,31061
565,608,31062,31669
564,613,31670,32282
563,648,32283,32930
562,651,32931,33581
561,617,33582,34198
560,655,34199,34853
559,621,34854,35474
558,662,35475,36136
557,702,36137,36838
556,691,36839,37529
555,674,37530,38203
554,716,38204,38919
553,681,38920,39600
552,733,39601,40333
551,688,40334,41021
550,665,41022,41686
549,719,41687,42405
548,725,42406,43130
547,689,43131,43819
546,711,43820,44530
545,652,44531,45182
544,731,45183,45913
543,701,45914,46614
542,704,46615,47318
541,744,47319,48062
540,763,48063,48825
539,786,48826,49611
538,790,49612,50401
537,711,50402,51112
536,785,51113,51897
535,747,51898,52644
534,802,52645,53446
533,776,53447,54222
532,754,54223,54976
531,741,54977,55717
530,783,55718,56500
